iter	Passed	Remaining
0	39	39437
1	76	38167
2	113	37626
3	150	37447
4	190	37819
5	245	40718
6	282	40065
7	320	39713
8	357	39341
9	395	39171
10	445	40047
11	471	38786
12	493	37488
13	516	36402
14	540	35486
15	563	34625
16	584	33786
17	608	33178
18	631	32600
19	654	32063
20	677	31568
21	702	31217
22	727	30917
23	749	30498
24	772	30139
25	794	29771
26	818	29505
27	842	29257
28	866	29025
29	898	29059
30	941	29423
31	986	29854
32	1037	30394
33	1084	30809
34	1118	30834
35	1149	30778
36	1175	30605
37	1199	30368
38	1234	30427
39	1260	30243
40	1285	30067
41	1308	29854
42	1332	29662
43	1356	29469
44	1387	29443
45	1419	29435
46	1452	29451
47	1498	29716
48	1545	29990
49	1600	30409
50	1635	30431
